city,country,description,location,state,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Ghost Category,Event Type,Over 18 binge drink at least once per month,Alcohol deaths per capita,Annual deaths attributable to excessive alcohol use,Sunrise,Sunset,Daylight Duration,Daylight Duration 2,crime_solved,victim_sex,weapon,Median Age,Population,Housing Units,moon_phase,moon_diameter,moon_distance,geotopic_name,geotopic_longitude,geotopic_latitude,NER_ENTITIES,NER_PERSONS,NER_ORGS,NER_LOCATIONS,image_path,tika_caption
Ada,United States,"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids.""",Ada Cemetery,Michigan,MI,-85.5048931,42.9621061,-85.4954803,42.960727,True,True,3/12/1954 0:00,1.0,Evening,Ghost,Male,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,11:44,No,Female,Knife,60.1,48.0,31.0,12.35,1889.5,379317,Little Egypt Valley,-123.2221,47.22898,"[('Ada witch -', 'ORG'), ('3-mile', 'QUANTITY'), ('the Ada Cemetery', 'FAC'), ('Egypt Valley', 'ORG'), ('Honey Creek', 'GPE'), ('late one night', 'TIME'), ('late at night', 'TIME'), ('the night', 'TIME'), ('the turn of the 20th century', 'DATE'), ('Honeycreek Road', 'FAC'), ('Seidman Park', 'FAC'), ('Findlay Cemetery', 'PERSON'), ('Ghosts of Grand Rapids', 'WORK_OF_ART')]",['Findlay Cemetery'],"['Ada witch -', 'Egypt Valley']","['the Ada Cemetery', 'Honey Creek', 'Honeycreek Road', 'Seidman Park']",images/ada_michigan_0.png,"{""captions"": [{""confidence"": 0.0001342586450268187, ""sentence"": ""a man is standing in the snow with a snowboard .""}, {""confidence"": 8.147431000402454e-05, ""sentence"": ""a man is standing in the snow holding a snowboard .""}, {""confidence"": 5.4216463390484856e-05, ""sentence"": ""a man is standing in the snow with a snowboard""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 61, ""captioning"": 912, ""units"": ""ms""}}"
Addison,United States,A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.,North Adams Rd.,Michigan,MI,-84.3818434,41.9714248,-84.3471684,41.986434,True,True,7/7/2006 0:00,1.0,Morning,Ghost,Female Child,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,15:06,No,Male,Unknown,37.6,697.0,296.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,"[('in.1 month later', 'DATE'), ('this day', 'DATE')]",[],[],[],images/addison_michigan_1.png,"{""captions"": [{""confidence"": 8.482576685112755e-05, ""sentence"": ""a little girl is holding a toothbrush in her mouth .""}, {""confidence"": 2.9240676103587522e-05, ""sentence"": ""a little girl is holding a toothbrush in her mouth""}, {""confidence"": 2.685018139362514e-05, ""sentence"": ""a little girl is holding a toothbrush in her hand .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 53, ""captioning"": 944, ""units"": ""ms""}}"
Adrian,United States,"If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.",Ghost Trestle,Michigan,MI,-84.0356562,41.904538,-84.0371659,41.8975471,False,True,5/30/1929 0:00,1.0,Evening,Ghost,Female Child,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,14:58,,,,49.2,687.0,268.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,"[('Gorman Rd', 'FAC'), ('Sand Creek', 'GPE'), ('one', 'CARDINAL'), ('one', 'CARDINAL'), ('Late one night', 'TIME'), ('one', 'CARDINAL'), ('late at night', 'TIME')]",[],[],"['Gorman Rd', 'Sand Creek']",images/adrian_michigan_2.png,"{""captions"": [{""confidence"": 0.00018095529096116942, ""sentence"": ""a wooden bench sitting in the middle of a forest .""}, {""confidence"": 5.761111869542543e-05, ""sentence"": ""a wooden bench sitting in front of a building .""}, {""confidence"": 5.397300665459883e-05, ""sentence"": ""a wooden bench sitting in the middle of a park .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 66, ""captioning"": 872, ""units"": ""ms""}}"
Adrian,United States,"In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.",Siena Heights University,Michigan,MI,-84.0175653,41.9057124,-84.0371659,41.8975471,True,True,1826-06-18 00:00:00,1.0,Evening,Unknown,,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,15:14,,,,49.2,687.0,268.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,"[('1970', 'DATE'), ('one', 'CARDINAL'), ('211', 'CARDINAL'), ('today', 'DATE'), ('one', 'CARDINAL'), ('two', 'CARDINAL'), ('first', 'ORDINAL'), ('the next morning', 'TIME'), ('One night', 'TIME')]",[],[],[],images/adrian_michigan_3.png,"{""captions"": [{""confidence"": 3.237535527872346e-05, ""sentence"": ""a bathroom with a toilet , sink , and bathtub .""}, {""confidence"": 1.7882023882902674e-05, ""sentence"": ""a bathroom with a toilet , sink , mirror and shower .""}, {""confidence"": 5.794428710611702e-06, ""sentence"": ""a bathroom with a toilet , sink , mirror , and bathtub .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 58, ""captioning"": 910, ""units"": ""ms""}}"
Albion,United States,"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply.",Albion College,Michigan,MI,-84.7451775,42.2440064,-84.7530304,42.243097,True,False,3/12/1900 0:00,1.0,Unknown,Ghost,Female Child,Death,19.80%,5.6,4548.0,7:53,19:42,11:49,11:45,,,,21.4,274.0,71.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,"[('Kappa Delta Sorority - The Kappa Delta Sorority', 'ORG'), ('one', 'CARDINAL')]",[],['Kappa Delta Sorority - The Kappa Delta Sorority'],[],images/albion_michigan_4.png,"{""captions"": [{""confidence"": 0.0003026287983937862, ""sentence"": ""a red fire hydrant in front of a building .""}, {""confidence"": 0.00026419454443724446, ""sentence"": ""a red fire hydrant sitting in front of a building .""}, {""confidence"": 0.0001534271095313817, ""sentence"": ""a red fire hydrant in front of a brick building .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 54, ""captioning"": 713, ""units"": ""ms""}}"
Albion,United States,A mysterious lady in white has been spotted in this cemetery.,Riverside Cemetery,Michigan,MI,-84.7530555,42.2368139,-84.7530304,42.243097,False,False,3/1/2025 0:00,1.0,Unknown,UAP,,Unknown,19.80%,5.6,4548.0,7:53,19:42,11:49,11:16,,,,21.4,274.0,71.0,1.34,1976.6,362597,Riverside County,-115.99386,33.74368,[],[],[],[],images/albion_michigan_5.png,"{""captions"": [{""confidence"": 0.0001942104510310693, ""sentence"": ""a man and a woman standing next to each other .""}, {""confidence"": 9.695322699258394e-06, ""sentence"": ""a man and a woman standing next to each other in a park .""}, {""confidence"": 8.641965873976758e-06, ""sentence"": ""a man and a woman standing next to each other on a field .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 64, ""captioning"": 831, ""units"": ""ms""}}"
Algoma Township,United States,"On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...",Hell's Bridge,Michigan,MI,,,-85.6229296,43.1492928,True,True,1644-03-12 00:00:00,1.0,Evening,Unknown,,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,11:46,,,,,,,Unknown,Unknown,Unknown,Rogue River,-123.172,42.43595,"[('the Rogue River', 'LOC'), ('Friske', 'ORG'), (""Hell's Bridge"", 'ORG'), ('midnight', 'TIME'), ('1800', 'DATE'), ('Algoma', 'PERSON'), ('Rockford', 'GPE'), ('Laphamville', 'ORG'), ('Elias Friske', 'PERSON'), ('the early morning', 'TIME')]","['Algoma', 'Elias Friske']","['Friske', ""Hell's Bridge"", 'Laphamville']","['the Rogue River', 'Rockford']",images/algoma_township_michigan_6.png,"{""captions"": [{""confidence"": 0.0006714266635674227, ""sentence"": ""a train traveling down tracks next to a river .""}, {""confidence"": 0.0005648166079923519, ""sentence"": ""a train traveling down tracks next to a forest .""}, {""confidence"": 0.00017804380020740754, ""sentence"": ""a train traveling down tracks next to a lush green forest .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 69, ""captioning"": 2233, ""units"": ""ms""}}"
Algonac,United States,"Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com",Morrow Road,Michigan,MI,-82.5762902,42.6529969,-82.531018,42.6183675,True,True,7/12/2017 0:00,1.0,Evening,Ghost,Female Child,Murder,19.80%,5.6,4548.0,7:53,19:42,11:49,15:04,,,,41.8,4173.0,1734.0,92.49,1814.7,394945,Haunted Hills,146.33333,-38.2,"[('Morrow Road', 'FAC'), ('Michigan', 'GPE'), ('Harsens Island', 'LOC'), ('1800', 'DATE'), ('today', 'DATE'), ('night', 'TIME'), ('1800', 'DATE'), ('Unsolved Mysteries', 'ORG'), ('the winter', 'DATE'), ('midnight', 'TIME'), ('three', 'CARDINAL')]",[],['Unsolved Mysteries'],"['Morrow Road', 'Michigan', 'Harsens Island']",images/algonac_michigan_7.png,"{""captions"": [{""confidence"": 0.00045032390787791643, ""sentence"": ""a train traveling down tracks next to a forest .""}, {""confidence"": 0.0001015749126403931, ""sentence"": ""a train traveling down a track next to a forest .""}, {""confidence"": 9.746133020290492e-05, ""sentence"": ""a train traveling down tracks next to a lush green forest .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 78, ""captioning"": 753, ""units"": ""ms""}}"
Allegan,United States,"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?""",Elks Lodge,Michigan,MI,-85.8415992,42.520552,-85.8553031,42.5291989,True,False,3/12/2008 0:00,1.0,Unknown,Unknown,,Unknown,19.80%,5.6,4548.0,7:53,19:42,11:49,11:47,Yes,Male,Shotgun,31.8,5165.0,1939.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,[],[],[],[],images/allegan_michigan_8.png,"{""captions"": [{""confidence"": 0.0026319905076724243, ""sentence"": ""a living room filled with furniture and a fire place .""}, {""confidence"": 0.001600185557525843, ""sentence"": ""a living room filled with furniture and a flat screen tv .""}, {""confidence"": 5.004875971153039e-05, ""sentence"": ""a living room filled with furniture and a fire place""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 50, ""captioning"": 626, ""units"": ""ms""}}"
Allegan,United States,"Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.",The Grill House and the Rock Bottom Bar,Michigan,MI,-85.8575642,42.4977621,-85.8553031,42.5291989,True,False,4/26/2008 0:00,,Unknown,Ghost,Male,Unknown,19.80%,5.6,4548.0,7:53,19:42,11:49,13:54,Yes,Male,Shotgun,31.8,5165.0,1939.0,12.35,1889.5,379317,Michigan,-85.50033,44.25029,"[('every year', 'DATE'), ('Halloween', 'DATE')]",[],[],[],images/allegan_michigan_9.png,"{""captions"": [{""confidence"": 3.3189622838588264e-05, ""sentence"": ""a picture of a clock on a building .""}, {""confidence"": 2.6948966032787584e-05, ""sentence"": ""a picture of a clock on the side of a building .""}, {""confidence"": 4.0993633285171425e-06, ""sentence"": ""a picture of a clock on a building""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 37, ""captioning"": 740, ""units"": ""ms""}}"
